Z,N,A,Q_MeV,half_life_s,br_alpha,Emitted_Particle,Z_k,A_k
113.0,170.0,283.0,10.417,0.07,100.0,alpha,2,4
113.0,173.0,286.0,9.789999900000002,9.5,100.0,alpha,2,4
113.0,177.0,290.0,9.38,2.0,100.0,alpha,2,4
114.0,171.0,285.0,10.559999900000001,0.1,100.0,alpha,2,4
114.0,172.0,286.0,10.3550663,0.2016666666666667,60.0,alpha,2,4
114.0,173.0,287.0,10.166799900000001,0.4,100.0,alpha,2,4
114.0,174.0,288.0,10.0764873,0.64,100.0,alpha,2,4
114.0,175.0,289.0,9.9541798,2.4,100.0,alpha,2,4
115.0,175.0,290.0,10.4099999,0.65,100.0,alpha,2,4
115.0,173.0,288.0,10.649999900000001,0.199,100.0,alpha,2,4
115.0,174.0,289.0,10.4899999,0.277,100.0,alpha,2,4
115.0,172.0,287.0,10.7599999,0.037,100.0,alpha,2,4
116.0,174.0,290.0,10.9968334,0.0083,100.0,alpha,2,4
116.0,175.0,291.0,10.889999900000001,0.019,100.0,alpha,2,4
116.0,176.0,292.0,10.7911897,0.0128,100.0,alpha,2,4
116.0,177.0,293.0,10.677327100000001,0.095,100.0,alpha,2,4
117.0,176.0,293.0,11.319999900000001,0.021,100.0,alpha,2,4
117.0,177.0,294.0,11.1799999,0.051000000000000004,100.0,alpha,2,4
118.0,176.0,294.0,11.8673266,0.00058,100.0,alpha,2,4
