combination_name,layer,neurons,train_samples,sort_row,combined_total_rms,combined_train_rms,combined_test_rms,combined_train_count,combined_test_count,cluster_only_total_rms,cluster_only_train_rms,cluster_only_test_rms,cluster_only_train_count,cluster_only_test_count
1L_6N_k10_row71,1,6,10,71,5.1785083,,,27,0,3.2464952,,,27,0
1L_6N_k10_row72,1,6,10,72,4.229731,,,27,0,3.293662,,,27,0
1L_6N_k10_row73,1,6,10,73,5.2165966,,,27,0,3.1716661,,,27,0
1L_6N_k10_row74,1,6,10,74,3.916895,,,27,0,3.6682656,,,27,0
1L_6N_k10_row75,1,6,10,75,5.377552,,,27,0,3.3783,,,27,0
1L_6N_k10_row76,1,6,10,76,5.397091,,,27,0,3.2038555,,,27,0
1L_6N_k10_row77,1,6,10,77,4.4093966,,,27,0,3.238709,,,27,0
1L_6N_k10_row78,1,6,10,78,4.096131,,,27,0,3.3456407,,,27,0
1L_6N_k10_row79,1,6,10,79,5.1466465,,,27,0,3.2214196,,,27,0
1L_6N_k10_row80,1,6,10,80,3.9948452,,,27,0,3.6977751,,,27,0
1L_6N_k10_row81,1,6,10,81,5.311551,,,27,0,3.0941882,,,27,0
1L_6N_k10_row82,1,6,10,82,4.4230995,,,27,0,3.1810462,,,27,0
1L_6N_k10_row83,1,6,10,83,4.504611,,,27,0,3.1945148,,,27,0
1L_6N_k10_row84,1,6,10,84,4.557057,,,27,0,3.3709934,,,27,0
1L_6N_k10_row85,1,6,10,85,5.539476,,,27,0,3.2817838,,,27,0
1L_6N_k10_row86,1,6,10,86,4.1256547,,,27,0,3.6308196,,,27,0
1L_6N_k10_row87,1,6,10,87,5.334171,,,27,0,3.130348,,,27,0
1L_6N_k10_row88,1,6,10,88,4.0375195,,,27,0,3.4839995,,,27,0
1L_6N_k10_row89,1,6,10,89,5.4835443,,,27,0,3.1849866,,,27,0
1L_6N_k10_row90,1,6,10,90,5.3529525,,,27,0,3.2413232,,,27,0
1L_6N_k10_row91,1,6,10,91,4.423801,,,27,0,3.2723258,,,27,0
1L_6N_k10_row92,1,6,10,92,4.612088,,,27,0,3.16383,,,27,0
1L_6N_k10_row93,1,6,10,93,3.9947376,,,27,0,3.5643077,,,27,0
1L_6N_k10_row94,1,6,10,94,4.385172,,,27,0,2.9235938,,,27,0
1L_6N_k10_row95,1,6,10,95,5.389813,,,27,0,3.2561774,,,27,0
1L_6N_k10_row96,1,6,10,96,4.874485,,,27,0,3.1309779,,,27,0
1L_6N_k10_row97,1,6,10,97,3.958329,,,27,0,3.393482,,,27,0
1L_6N_k10_row98,1,6,10,98,4.016298,,,27,0,3.4016097,,,27,0
1L_6N_k10_row99,1,6,10,99,4.849651,,,27,0,2.873987,,,27,0
1L_6N_k10_row100,1,6,10,100,4.632577,,,27,0,3.131133,,,27,0
1L_6N_k10_row101,1,6,10,101,3.940931,,,27,0,3.5598288,,,27,0
1L_6N_k10_row102,1,6,10,102,3.884447,,,27,0,3.5700195,,,27,0
1L_6N_k10_row103,1,6,10,103,5.5458884,,,27,0,3.290199,,,27,0
1L_6N_k10_row104,1,6,10,104,3.999268,,,27,0,3.5108197,,,27,0
1L_6N_k10_row105,1,6,10,105,3.892272,,,27,0,3.407982,,,27,0
1L_6N_k10_row106,1,6,10,106,4.360685,,,27,0,3.0131183,,,27,0
1L_6N_k10_row107,1,6,10,107,4.003918,,,27,0,3.6286619,,,27,0
1L_6N_k10_row108,1,6,10,108,4.0413723,,,27,0,3.5588574,,,27,0
1L_6N_k10_row109,1,6,10,109,4.8362646,,,27,0,3.3473308,,,27,0
1L_6N_k10_row110,1,6,10,110,3.994286,,,27,0,3.5726302,,,27,0
1L_6N_k10_row111,1,6,10,111,5.0383487,,,27,0,3.0390875,,,27,0
1L_6N_k10_row112,1,6,10,112,3.920894,,,27,0,3.4733288,,,27,0
1L_6N_k10_row113,1,6,10,113,5.225723,,,27,0,3.2885761,,,27,0
1L_6N_k10_row114,1,6,10,114,3.9745135,,,27,0,4.1234145,,,27,0
1L_6N_k10_row115,1,6,10,115,3.9414058,,,27,0,3.5523937,,,27,0
1L_6N_k10_row116,1,6,10,116,4.3887677,,,27,0,3.3366036,,,27,0
1L_6N_k10_row117,1,6,10,117,3.9226577,,,27,0,3.5864193,,,27,0
1L_6N_k10_row118,1,6,10,118,4.0188184,,,27,0,3.4805124,,,27,0
1L_6N_k10_row119,1,6,10,119,4.4314947,,,27,0,3.267859,,,27,0
1L_6N_k10_row120,1,6,10,120,4.9677877,,,27,0,2.8553302,,,27,0
1L_6N_k10_row121,1,6,10,121,5.175052,,,27,0,3.13283,,,27,0
1L_6N_k10_row122,1,6,10,122,4.3801446,,,27,0,3.3066783,,,27,0
1L_6N_k10_row123,1,6,10,123,4.480486,,,27,0,3.263615,,,27,0
1L_6N_k10_row124,1,6,10,124,4.605675,,,27,0,3.3038394,,,27,0
1L_6N_k10_row125,1,6,10,125,4.621883,,,27,0,3.4251127,,,27,0
1L_6N_k10_row126,1,6,10,126,4.032169,,,27,0,3.6357336,,,27,0
1L_6N_k10_row127,1,6,10,127,3.9948752,,,27,0,3.7021928,,,27,0
1L_6N_k10_row128,1,6,10,128,4.391437,,,27,0,3.1611092,,,27,0
1L_6N_k10_row129,1,6,10,129,5.0287848,,,27,0,3.0239196,,,27,0
1L_6N_k10_row130,1,6,10,130,4.208142,,,27,0,3.3272269,,,27,0
1L_6N_k10_row131,1,6,10,131,4.0653405,,,27,0,3.395588,,,27,0
1L_6N_k10_row132,1,6,10,132,4.803254,,,27,0,3.3489044,,,27,0
1L_6N_k10_row133,1,6,10,133,4.2919974,,,27,0,3.2195346,,,27,0
1L_6N_k10_row134,1,6,10,134,4.230543,,,27,0,3.3021286,,,27,0
1L_6N_k10_row135,1,6,10,135,3.9726446,,,27,0,3.4582224,,,27,0
1L_6N_k10_row136,1,6,10,136,4.1379595,,,27,0,3.2125707,,,27,0
1L_6N_k10_row137,1,6,10,137,4.635711,,,27,0,3.362297,,,27,0
1L_6N_k10_row138,1,6,10,138,4.7214913,,,27,0,3.0239275,,,27,0
1L_6N_k10_row139,1,6,10,139,4.5083294,,,27,0,2.971506,,,27,0
1L_6N_k10_row140,1,6,10,140,3.8849008,,,27,0,3.5655627,,,27,0
1L_6N_k10_row141,1,6,10,141,4.038294,,,27,0,4.1648717,,,27,0
1L_6N_k10_row142,1,6,10,142,4.4572954,,,27,0,3.4597173,,,27,0
1L_6N_k10_row143,1,6,10,143,4.6737623,,,27,0,3.4059837,,,27,0
1L_6N_k10_row144,1,6,10,144,3.9714942,,,27,0,3.4619317,,,27,0
1L_6N_k10_row145,1,6,10,145,4.775837,,,27,0,3.293516,,,27,0
1L_6N_k10_row146,1,6,10,146,4.15085,,,27,0,3.4702282,,,27,0
1L_6N_k10_row147,1,6,10,147,4.834419,,,27,0,3.006435,,,27,0
1L_6N_k10_row148,1,6,10,148,4.3254538,,,27,0,3.2273724,,,27,0
